Servant,id,Avatar,avp,AvatarMax,Nick,R,Class,Attr.,C1,C2,C3,C4,C5,HP,ATK,Availability,asc11,asc11n,asc12,asc12n,asc13,asc13n,asc21,,asc22,,asc23,,asc24,,asc31,,asc32,,asc33,,asc41,,asc42,,asc43,,asc44,,skill11,,skill12,,skill13,,skill21,,skill22,,skill23,,skill24,,skill31,,skill32,,skill33,,skill41,,skill42,,skill43,,skill44,,skill51,,skill52,,skill53,,skill61,,skill62,,skill63,,skill64,,skill71,,skill72,,skill81,,skill82,,campaign1,campaign2,campaign3
Abigail Williams,195,https://vignette.wikia.nocookie.net/fategrandorder/images/3/37/Icon_Servant_195.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/6/6c/AbigailWilliamsFinalIcon.png/revision/latest?cb=20180219125430,Abigail,5,Foreigner,Earth,B,A,A,A,Q,13770,12100,Limited,Dust,10,Page,10,,,Jewel,10,Claw,10,,,,,Grease,10,Tearstone,10,,,Stake,10,Gallstone,10,,,,,Seed,10,,,,,Chain,10,,,,,,,Fluid,12,,,,,Baby,12,,,,,,,Feather,12,,,,,Lamp,15,,,,,,,Root,15,,,Heart,15,,,New Year 2021,,
Abigail Williams [Summer],289,https://vignette.wikia.nocookie.net/fategrandorder/images/8/88/S289Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/b/b5/AbigailWilliamsSummerFinalIcon.png,Summer Abby,5,Foreigner,Earth,B,B,A,Q,Q,14250,11781,Limited,Dust,10,Seed,10,,,Horseshoe,10,Horn,10,,,,,Lanugo,10,Lamp,10,,,Heart,10,Seashell,10,,,,,Bone,10,,,,,Dust,10,,,,,,,Chain,12,,,,,Seashell,12,,,,,,,Permafrost,12,,,,,Ring,15,,,,,,,Egg,15,,,Shard,15,,,Servant Summer Camp,Servant Summer Camp Re-Run,
Achilles,206,https://vignette.wikia.nocookie.net/fategrandorder/images/3/38/AchillesIcon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/1/1a/AchillesFinalIcon.png/revision/latest?cb=20180529143422,Achilles,5,Rider,Earth,B,A,A,Q,Q,13219,11883,Permanent,pieceRider,5,,,,,pieceRider,12,Proof,22,,,,,monumentRider,5,Gear,10,Horn,3,monumentRider,12,Horn,6,Feather,10,,,blueRider,5,,,,,blueRider,12,,,,,,,redRider,5,,,,,redRider,12,Gear,5,,,,,goldRider,5,Gear,10,,,goldRider,12,Proof,15,,,,,Proof,29,Horseshoe,6,Horseshoe,18,Heart,10,Atlantis Chapter Release,Chaldea Boys Collection 2020,Apocrypha Collab Re-Run
Alexander,28,https://vignette.wikia.nocookie.net/fategrandorder/images/3/34/Alexandericon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/3/3e/AlexanderFinalIcon.png/revision/latest?cb=20180215130232,Alexander,3,Rider,Man,B,A,A,Q,Q,8640,7356,Permanent,pieceRider,4,,,,,pieceRider,8,Horseshoe,5,,,,,monumentRider,4,Crystal,7,Feather,3,monumentRider,8,Feather,6,Proof,24,,,blueRider,4,,,,,blueRider,8,,,,,,,redRider,4,,,,,redRider,8,Crystal,4,,,,,goldRider,4,Crystal,7,,,goldRider,8,Horseshoe,4,,,,,Horseshoe,7,Claw,3,Claw,8,Proof,48,,,
Altera,8,https://vignette.wikia.nocookie.net/fategrandorder/images/3/32/Attilaicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/e/ed/AttilaFinalIcon.png/revision/latest?cb=20180211121222,Altera,5,Saber,Man,B,B,A,A,Q,13907,12343,Permanent,pieceSaber,5,,,,,pieceSaber,12,Dust,15,,,,,monumentSaber,5,Claw,6,Horseshoe,5,monumentSaber,12,Horseshoe,10,Heart,5,,,blueSaber,5,,,,,blueSaber,12,,,,,,,redSaber,5,,,,,redSaber,12,Claw,3,,,,,goldSaber,5,Claw,6,,,goldSaber,12,Dust,10,,,,,Dust,20,Bone,18,Bone,54,Heart,10,Valentine's 2020,Holy Grail Front - Rome,Valentine's 2021
Altera [Santa],197,https://vignette.wikia.nocookie.net/fategrandorder/images/f/f7/Icon_Servant_197.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/3/31/AttilaArcherFinalIcon.png/revision/latest?cb=20180214113921,Santa Altera,4,Archer,Star,B,A,A,Q,Q,11637,9759,Welfare,Moustache,1,,,,,Moustache,1,,,,,,,Moustache,1,,,,,Moustache,1,,,,,,,blueArcher,4,,,,,blueArcher,10,,,,,,,redArcher,4,,,,,redArcher,10,Seed,5,,,,,goldArcher,4,Seed,10,,,goldArcher,10,Horseshoe,4,,,,,Horseshoe,8,Root,2,Root,6,Lanugo,12,19M Downloads Campaign,,
Amakusa Shirou,93,https://vignette.wikia.nocookie.net/fategrandorder/images/b/b5/Amakusaicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/8/87/AmakusaShirouFinalIcon.png/revision/latest?cb=20180211124400,Amakusa,5,Ruler,Man,B,B,A,A,Q,14107,10972,Limited,pieceRider,5,pieceCaster,5,pieceAssassin,5,pieceSaber,5,pieceArcher,5,pieceLancer,5,pieceBerserker,5,monumentRider,5,monumentCaster,5,monumentAssassin,5,monumentSaber,5,monumentArcher,5,monumentLancer,5,monumentBerserker,5,blueRider,5,blueCaster,5,blueAssassin,5,blueSaber,5,blueArcher,5,blueLancer,5,blueBerserker,5,redRider,5,redCaster,5,redAssassin,5,redSaber,5,redArcher,5,redLancer,5,redBerserker,5,goldRider,5,goldCaster,5,goldAssassin,5,goldSaber,5,goldArcher,5,goldLancer,5,goldBerserker,5,Heart,5,,,Heart,15,,,Apocrypha Collab Re-Run,,
Anastasia Nikolaevna Romanova,201,https://vignette.wikia.nocookie.net/fategrandorder/images/e/eb/AnastasiaIcon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e7/AnastasiaFinalIcon.png/revision/latest?cb=20180529144029,Anastasia,5,Caster,Man,B,A,A,A,Q,14259,10546,Permanent,pieceCaster,5,,,,,pieceCaster,12,Dust,15,,,,,monumentCaster,5,Seashell,10,Tearstone,3,monumentCaster,12,Tearstone,6,Permafrost,12,,,blueCaster,5,,,,,blueCaster,12,,,,,,,redCaster,5,,,,,redCaster,12,Seashell,5,,,,,goldCaster,5,Seashell,10,,,goldCaster,12,Dust,10,,,,,Dust,20,Page,6,Page,18,Gunpowder,72,Interlude Campaign 11,Valentine's 2020,Valentine's 2021
Angra Mainyu,107,https://vignette.wikia.nocookie.net/fategrandorder/images/3/30/Angraicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/c/c7/AngraMainyuFinalIcon.png/revision/latest?cb=20180211122711,Angra,0,Avenger,Man,B,A,A,Q,Q,7981,5683,FP Gacha,Proof,10,Bone,10,,,Dust,10,Grease,10,,,,,Gear,10,Tearstone,10,,,Root,10,Scale,10,,,,,Proof,10,,,,,Dust,10,,,,,,,Bone,12,,,,,Baby,12,,,,,,,Lantern,12,,,,,Gear,15,,,,,,,Tearstone,15,,,Root,15,,,,,
Anne Bonny & Mary Read,66,https://vignette.wikia.nocookie.net/fategrandorder/images/0/06/Anneicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/4/41/AnneBonnyMaryReadFinalIcon.png/revision/latest?cb=20180215130358,Mary,4,Rider,Man,B,A,A,Q,Q,11286,9029,Permanent,pieceRider,4,,,,,pieceRider,10,Baby,6,,,,,monumentRider,4,Lantern,8,Bone,12,monumentRider,10,Bone,24,Claw,6,,,blueRider,4,,,,,blueRider,10,,,,,,,redRider,4,,,,,redRider,10,Lantern,4,,,,,goldRider,4,Lantern,8,,,goldRider,10,Baby,4,,,,,Baby,8,Dust,10,Dust,30,Claw,12,,,
